"","YEAR","SEX","RACE","EDUC","AGE"
"566",1974,2,1,12,29
"567",1974,2,1,7,40
"568",1974,2,1,14,40
"569",1974,1,1,13,20
"570",1974,1,1,15,56
"571",1974,2,1,12,50
"572",1974,2,1,14,22
"573",1974,2,1,12,54
"574",1974,1,2,14,34
"575",1974,1,2,14,26
"576",1974,2,1,10,52
"577",1974,2,2,5,74
"578",1974,2,2,12,23
"579",1974,1,1,17,27
"580",1974,1,1,12,56
"581",1974,1,1,10,57
"582",1974,2,1,13,51
"583",1974,2,1,12,41
"584",1974,1,1,12,19
"585",1974,1,1,8,45
"586",1974,2,1,12,48
"587",1974,2,1,12,48
"588",1974,2,1,18,28
"589",1974,1,1,16,27
"590",1974,1,1,3,65
"591",1974,2,1,14,23
"592",1974,2,1,14,22
"593",1974,1,1,12,23
"594",1974,1,1,8,55
"595",1974,2,1,12,25
"596",1974,2,1,12,27
"597",1974,2,1,12,21
"598",1974,1,1,12,27
"599",1974,1,1,8,65
"600",1974,2,1,15,40
"601",1974,2,1,12,46
"602",1974,2,1,12,39
"603",1974,1,2,9,61
"604",1974,1,2,9,66
"605",1974,1,2,10,53
"606",1974,2,2,9,63
"607",1974,2,2,12,33
"608",1974,1,1,12,31
"609",1974,1,1,8,75
"610",1974,2,1,12,23
"611",1974,2,1,12,23
"612",1974,2,1,8,35
"613",1974,1,1,12,22
"614",1974,1,1,8,59
"615",1974,2,1,12,37
"616",1974,2,1,12,29
"617",1974,2,1,12,31
"618",1974,1,2,11,19
"619",1974,1,2,7,40
"620",1974,2,1,9,20
"621",1974,2,2,11,49
"622",1974,2,2,12,27
"623",1974,1,1,13,29
"624",1974,1,1,9,56
"625",1974,2,1,12,53
"626",1974,2,1,8,61
"627",1974,2,1,12,40
"628",1974,1,1,12,19
"629",1974,1,1,12,50
"630",1974,1,1,13,41
"631",1974,2,1,12,48
"632",1974,2,1,12,24
"633",1974,1,1,11,62
"634",1974,1,1,14,71
"635",1974,1,1,8,69
"636",1974,2,1,8,73
"637",1974,2,1,12,23
"638",1974,1,1,13,32
"639",1974,1,1,16,71
"640",1974,1,1,16,43
"641",1974,2,1,15,27
"642",1974,2,1,14,23
"643",1974,1,1,15,27
"644",1974,1,1,12,26
"645",1974,1,1,10,51
"646",1974,2,1,12,65
"647",1974,2,1,12,33
"648",1974,1,1,12,24
"649",1974,1,1,12,43
"650",1974,1,1,12,65
"651",1974,2,1,10,47
"652",1974,2,1,12,35
"653",1974,1,1,8,60
"654",1974,1,1,12,44
"655",1974,2,1,8,46
"656",1974,2,1,12,47
"657",1974,1,1,8,61
"658",1974,1,1,11,52
"659",1974,2,1,12,26
"660",1974,2,1,16,30
"661",1974,2,1,10,47
"662",1974,1,1,8,48
"663",1974,1,1,6,74
"664",1974,2,1,8,69
"665",1974,2,1,13,21
"666",1974,1,1,12,50
"667",1974,1,1,20,50
"668",1974,2,1,12,26
"669",1974,2,1,14,24
"670",1974,2,1,14,68
"671",1974,1,1,13,28
"672",1974,1,1,6,77
"673",1974,2,1,0,84
"674",1974,2,1,8,89
"675",1974,2,1,15,25
"676",1974,1,1,9,66
"677",1974,1,1,10,76
"678",1974,2,1,12,32
"679",1974,2,1,10,44
"680",1974,2,1,12,56
"681",1974,1,1,17,31
"682",1974,1,1,0,85
"683",1974,1,1,8,61
"684",1974,2,1,11,29
"685",1974,2,1,12,36
"686",1974,1,1,16,25
"687",1974,1,1,17,49
"688",1974,1,1,12,46
"689",1974,2,1,12,60
"690",1974,2,1,8,76
"691",1974,1,1,12,52
"692",1974,1,1,8,49
"693",1974,2,1,8,60
"694",1974,2,1,8,83
"695",1974,2,1,10,28
"696",1974,1,1,14,44
"697",1974,1,1,8,71
"698",1974,1,1,5,46
"699",1974,2,1,8,65
"700",1974,2,2,12,66
"701",1974,1,1,16,28
"702",1974,1,1,17,61
"703",1974,2,1,12,25
"704",1974,2,1,11,68
"705",1974,2,1,8,59
"706",1974,1,1,8,57
"707",1974,1,1,10,71
"708",1974,1,1,12,59
"709",1974,2,1,10,60
"710",1974,2,1,12,32
"711",1974,1,1,17,48
"712",1974,1,1,12,51
"713",1974,2,1,10,67
"714",1974,2,1,17,47
"715",1974,2,1,8,51
"716",1974,1,2,8,30
"717",1974,1,2,10,39
"718",1974,2,2,10,30
"719",1974,2,2,12,23
"720",1974,2,2,13,30
"721",1974,1,1,13,20
"722",1974,1,1,12,42
"723",1974,1,1,14,57
"724",1974,2,1,10,62
"725",1974,2,1,12,50
"726",1974,1,1,16,27
"727",1974,1,1,12,38
"728",1974,2,1,12,20
"729",1974,2,1,12,49
"730",1974,2,1,12,25
"731",1974,1,2,8,23
"732",1974,1,2,12,37
"733",1974,2,2,12,31
"734",1974,2,2,11,19
"735",1974,2,2,8,39
"736",1974,1,1,9,54
"737",1974,1,1,12,65
"738",1974,2,1,12,65
"739",1974,2,1,14,21
"740",1974,2,1,12,52
"741",1974,1,1,12,24
"742",1974,1,1,14,29
"743",1974,1,1,12,38
"744",1974,2,1,12,21
